Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Fungal infection,Keep skin clean and dry,Use antifungal powders/creams,Avoid sharing personal items,Wear breathable clothing
Allergy,Avoid known allergens,Use antihistamines,Keep windows closed during pollen season,Wear a mask in dusty environments
GERD,Avoid fatty/spicy foods,Eat smaller meals,Don't lie down after eating,Raise head of bed
Chronic cholestasis,Avoid alcohol,Consult a doctor,Follow a low-fat diet,Take vitamin supplements
Drug Reaction,Stop the suspected drug immediately,Consult your doctor,Inform of all medications taken,Avoid self-medication
Peptic ulcer disease,Avoid spicy food,Don't take NSAIDs,Quit smoking,Reduce stress
AIDS,Practice safe sex,Avoid sharing needles,Take antiretroviral therapy,Regular medical checkups
Diabetes,Monitor blood sugar regularly,Follow a balanced diet,Exercise regularly,Take prescribed medications
Gastroenteritis,Stay hydrated,Avoid solid foods temporarily,Wash hands frequently,Use ORS sachets
Bronchial Asthma,Use prescribed inhaler,Avoid triggers like smoke/dust,Monitor peak flow,Keep rescue inhaler accessible
Hypertension,Reduce salt intake,Exercise regularly,Monitor blood pressure daily,Avoid stress
Migraine,Avoid trigger foods,Sleep in a dark quiet room,Stay hydrated,Use prescribed medication
Cervical spondylosis,Use a firm pillow,Do neck exercises,Avoid sudden neck movements,Maintain good posture
Paralysis (brain hemorrhage),Seek emergency medical care immediately,Maintain blood pressure,Physiotherapy,Avoid stress
Jaundice,Drink plenty of water,Avoid alcohol,Get plenty of rest,Eat high-protein food
Malaria,Use mosquito repellent,Sleep under nets,Take prescribed antimalarials,Eliminate standing water
Chicken pox,Stay isolated,Use calamine lotion,Cut fingernails short,Avoid scratching
Dengue,Use mosquito repellent,Wear full-sleeve clothes,Stay hydrated,Seek early medical care
Typhoid,Eat freshly cooked food,Drink purified water,Wash hands regularly,Get vaccinated
Hepatitis A,Maintain hygiene,Get vaccinated,Avoid contaminated water,Wash hands after toilet use
Hepatitis B,Get vaccinated,Use protection during sex,Avoid sharing needles,Avoid sharing razors
Hepatitis C,Avoid sharing needles,Use protective equipment,Get regular checkups,Consult hepatologist
Hepatitis D,Get vaccinated for Hepatitis B,Avoid sharing needles,Consult a doctor immediately,Avoid alcohol
Hepatitis E,Drink purified water,Avoid raw/undercooked food,Maintain good hygiene,Consult doctor if pregnant
Alcoholic hepatitis,Stop alcohol consumption,Consult a hepatologist,Follow prescribed diet,Take supplements
Tuberculosis,Complete the full TB treatment,Cover mouth when coughing,Improve ventilation,Avoid close contact with others
Common Cold,Rest adequately,Stay hydrated,Use decongestants,Avoid cold environments
Pneumonia,Get vaccinated,Seek immediate medical care,Complete antibiotics course,Rest and stay warm
Dimorphic hemorrhoids (piles),Increase fiber intake,Drink lots of water,Avoid straining,Use sitz baths
Heart attack,Call emergency services immediately,Chew aspirin if not allergic,Lie down calmly,Avoid strenuous activity
Varicose veins,Elevate legs when resting,Wear compression stockings,Exercise regularly,Avoid prolonged standing
Hypothyroidism,Take levothyroxine as prescribed,Regular thyroid function tests,Exercise regularly,Eat iodine-rich foods
Hyperthyroidism,Take anti-thyroid medication,Regular thyroid tests,Avoid iodine-rich foods,Stress management
Hypoglycemia,Consume fast-acting carbohydrates,Eat small frequent meals,Monitor blood sugar,Carry glucose tablets
Osteoarthritis,Use heat/cold therapy,Maintain healthy weight,Do low-impact exercises,Use assistive devices
Arthritis,Follow anti-inflammatory diet,Physiotherapy,Use prescribed medications,Protect joints during activities
(Vertigo) Paroxysmal Positional Vertigo,Do Epley maneuver,Avoid sudden head movements,Sit up slowly,Consult ENT specialist
Acne,Keep skin clean,Avoid touching face,Use non-comedogenic products,Consult a dermatologist
Urinary tract infection,Drink plenty of water,Urinate after intercourse,Avoid holding urine,Take prescribed antibiotics
Psoriasis,Moisturize regularly,Use prescribed topical treatments,Avoid triggers like stress,Get light therapy
Impetigo,Keep sores covered,Wash hands frequently,Avoid touching sores,Take prescribed antibiotics
